"country","year","preprimary","primary","secondary","tertiary"
"Colombia","1998",0.09613,1.76447,1.29531,0.76923
"Colombia","1999",0.11006,2.00555,1.47702,0.84687
"Colombia","2000",0.08592,1.56449,1.16118,0.69795
"Colombia","2001",0.09103,1.65303,1.22489,0.73709
"Colombia","2002",0.09393,1.70221,1.25336,0.56671
"Colombia","2003",0.10143,1.83677,1.35478,0.5548
"Colombia","2004",0.10893,1.97133,1.4562,0.54289
"Colombia","2005",0.10472,1.89511,1.4433,0.55187
"Colombia","2006",0.14614,1.57669,1.13305,0.56955
"Colombia","2007",0.18756,1.48662,1.05333,0.71575
"Colombia","2008",0.22898,1.45845,1.57275,0.86195
"Colombia","2009",0.2704,1.82336,1.66228,0.9302
"Colombia","2010",0.28196,1.73363,1.68048,1.06684
"Colombia","2011",0.26964,1.58226,1.61258,0.91641
"Colombia","2012",0.26112,1.53273,1.56511,0.96323
