"country","code","year","GDP","eduPerc","presidents"
"Colombia","COL",1980,33400712095,1.72912,"Julio Cesar Turbay"
"Colombia","COL",1981,36388389129,2.59724,"Julio Cesar Turbay"
"Colombia","COL",1982,38968019453,2.732923333,"Belisario Betancur"
"Colombia","COL",1983,38729822782,2.868606667,"Belisario Betancur"
"Colombia","COL",1984,38253120738,3.00429,"Belisario Betancur"
"Colombia","COL",1985,34894419525,2.71527,"Belisario Betancur"
"Colombia","COL",1986,34942483688,2.712765,"Virgilio Barco"
"Colombia","COL",1987,36373312083,2.71026,"Virgilio Barco"
"Colombia","COL",1988,39212545681,2.707755,"Virgilio Barco"
"Colombia","COL",1989,39540083646,2.70525,"Virgilio Barco"
"Colombia","COL",1990,40274204595,2.840937778,"Cesar Gaviria"
"Colombia","COL",1991,41239551378,2.976625556,"Cesar Gaviria"
"Colombia","COL",1992,49279585355,3.112313333,"Cesar Gaviria"
"Colombia","COL",1993,55802540101,3.248001111,"Cesar Gaviria"
"Colombia","COL",1994,81703496604,3.383688889,"Ernesto Samper"
"Colombia","COL",1995,92507277798,3.519376667,"Ernesto Samper"
"Colombia","COL",1996,97160111573,3.655064444,"Ernesto Samper"
"Colombia","COL",1997,106659507964,3.790752222,"Ernesto Samper"
"Colombia","COL",1998,98443743191,3.92644,"Andres Pastrana"
"Colombia","COL",1999,86186156584,4.4408,"Andres Pastrana"
"Colombia","COL",2000,99886577576,3.51121,"Andres Pastrana"
"Colombia","COL",2001,98203544965,3.70868,"Andres Pastrana"
"Colombia","COL",2002,97933392356,4.26813,"Alvaro Uribe"
"Colombia","COL",2003,94684582573,4.32514,"Alvaro Uribe"
"Colombia","COL",2004,117074865515,4.07935,"Alvaro Uribe"
"Colombia","COL",2005,146520136085,3.99501,"Alvaro Uribe"
"Colombia","COL",2006,162773603930,3.89332,"Alvaro Uribe"
"Colombia","COL",2007,207520150283,4.0587,"Alvaro Uribe"
"Colombia","COL",2008,244056732297,3.9098,"Alvaro Uribe"
"Colombia","COL",2009,233821670544,4.74743,"Alvaro Uribe"
"Colombia","COL",2010,287018184638,4.82616,"Juan Manuel Santos"
"Colombia","COL",2011,335415156702,4.44746,"Juan Manuel Santos"
"Colombia","COL",2012,370328075210,4.38377,"Juan Manuel Santos"
